stock_id,company_name,market,industry,security_type,listed_date,isin,quote_date,close,change,volume_shares,valuation_date,pe_ratio,pb_ratio,dividend_yield_pct,chip_date,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares,has_price_file,price_file
2729,瓦城,twse,觀光餐旅,股票,2012/09/17,TW0002729001,,,,,,,,,20260618,-7900.0,0.0,0.0,-7900.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2729.csv
2731,雄獅,twse,觀光餐旅,股票,2013/09/24,TW0002731007,1150618,152.0,-0.5,1161676.0,1150618,8.89,2.66,8.42,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2731.csv
2732,六角,twse,觀光餐旅,股票,2015/01/20,TW0002732005,,,,,,,,,20260618,-14000.0,0.0,51.0,-13949.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2732.csv
2734,易飛網,twse,觀光餐旅,股票,2013/12/26,TW0002734001,,,,,,,,,20260618,-9000.0,0.0,175.0,-8825.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2734.csv
2736,富野,twse,觀光餐旅,股票,2016/01/06,TW0002736006,,,,,,,,,20260618,14000.0,0.0,-9.0,13991.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2736.csv
2739,寒舍,twse,觀光餐旅,股票,2016/05/19,TW0002739000,1150618,35.8,-0.6,257534.0,1150618,11.82,2.19,7.21,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2739.csv
2740,華軒,twse,觀光餐旅,股票,2015/12/24,TW0002740008,,,,,,,,,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2740.csv
2743,山富,twse,觀光餐旅,股票,2020/03/09,TW0002743002,,,,,,,,,20260618,19000.0,0.0,1426.0,20426.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2743.csv
2745,五福,twse,觀光餐旅,股票,2018/04/16,TW0002745007,,,,,,,,,20260618,44009.0,0.0,3000.0,47009.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2745.csv
2748,雲品,twse,觀光餐旅,股票,2016/11/23,TW0002748001,1150618,40.4,-0.35,48418.0,1150618,19.42,1.45,4.33,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2748.csv
2751,王座,twse,觀光餐旅,股票,2024/09/10,TW0002751005,,,,,,,,,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2751.csv
2752,豆府,twse,觀光餐旅,股票,2019/09/25,TW0002752003,,,,,,,,,20260618,-61.0,0.0,0.0,-61.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2752.csv
2753,八方雲集,twse,觀光餐旅,股票,2021/09/09,TW0002753001,1150618,187.0,0.0,339330.0,1150618,13.88,3.51,6.42,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2753.csv
2754,亞洲藏壽司,twse,觀光餐旅,股票,2020/09/17,TW0002754009,,,,,,,,,20260618,4000.0,0.0,0.0,4000.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2754.csv
