stock_id,company_name,revenue_month,announcement_date,buy_date,mom_positive,yoy_positive,mom_gt_10,mom_gt_20,yoy_gt_20,yoy_gt_30,inst_buy_positive,inst_buy_gt_100k,inst_buy_gt_300k,inst_buy_gt_500k,foreign_buy_positive,foreign_buy_gt_100k,foreign_buy_gt_300k,trust_buy_positive,trust_buy_gt_50k,dealer_buy_positive,avg_volume_5d_gt_100k,avg_volume_5d_gt_300k,avg_volume_5d_gt_1m,prev_vol_ratio_gt_1,prev_vol_ratio_gt_1_5,day1_return_gt_3,day3_return_gt_5,day5_return_gt_10,max_close_10d_gt_20,breakout_20d,breakout_60d,breakout_120d,breakout_240d,return_pct,mom_pct,yoy_pct,institutional_total_net_buy_shares,avg_volume_5d,previous_volume_ratio_20d,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,day1_return_pct,day3_return_pct,day5_return_pct,max_close_10d_return_pct,exit_date
6534,正瀚-創,2026-03,2026-04-10,2026-04-13,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,-0.015957,0.38270000000000004,0.0246,-183000.0,365903.2,0.7398402719547189,-185000.0,0.0,2000.0,0.056382978723404226,0.05000000000000003,0.04468085106382982,0.0851063829787234,2026-04-30
8996,高力,2026-03,2026-04-10,2026-06-01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.472222,0.36329999999999996,2.0534,859225.0,,,815971.0,57000.0,-13746.0,-0.027777777777777776,0.037037037037037035,0.12037037037037036,0.23148148148148148,2026-06-18
2330,台積電,2026-03,2026-04-10,2026-04-13,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,0.075567,0.307,0.45189999999999997,8359236.0,35638444.8,1.0002313839440398,8159941.0,-175389.0,374684.0,0.03526448362720403,0.05037783375314862,0.020151133501259445,0.14105793450881612,2026-04-30
3481,群創,2026-03,2026-04-10,2026-06-01,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,0.181651,0.2782,0.331,-100159670.0,239744210.4,0.4515119276918377,-92927159.0,-103868.0,-7128643.0,0.03119266055045877,0.02385321100917426,-0.11284403669724768,0.08990825688073392,2026-06-18
6949,沛爾生醫-創,2026-03,2026-04-10,2026-06-01,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.365817,0.245,0.7453,1236.0,,,1378.0,0.0,-142.0,-0.053973013493253376,-0.03298350824587706,0.014992503748125937,0.10944527736131934,2026-06-18
9934,成霖,2026-03,2026-04-10,2026-06-01,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.042945,0.17309999999999998,0.062,-346740.0,,,-347740.0,0.0,1000.0,0.016359918200409013,0.15030674846625774,0.09918200408997963,0.15030674846625774,2026-06-18
8150,南茂,2026-03,2026-04-10,2026-06-01,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.079646,0.16690000000000002,0.23129999999999998,1197504.0,,,1152914.0,11000.0,33590.0,-0.12743362831858412,-0.12300884955752217,-0.22831858407079644,-0.05752212389380531,2026-06-18
6955,邦睿生技-創,2026-03,2026-04-10,2026-06-01,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.086207,0.1558,0.2022,-4000.0,,,0.0,0.0,-4000.0,0.006896551724137931,0.006896551724137931,-0.010344827586206896,0.006896551724137931,2026-06-18
7823,奧義賽博-KY創,2026-03,2026-04-10,2026-06-01,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.17653,0.1346,0.332,6000.0,,,8000.0,0.0,-2000.0,-0.013039117352056139,-0.019057171514543687,-0.09729187562688067,-0.00802407221664992,2026-06-18
9911,櫻花,2026-03,2026-04-10,2026-06-01,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.006098,0.1013,0.0342,-28412.0,,,-24400.0,0.0,-4012.0,0.007317073170731638,0.020731707317073206,0.024390243902439025,0.039024390243902474,2026-06-18
