event_id,revenue_month,announcement_date,announcement_time,market,stock_id,company_name,current_month_revenue,previous_month_revenue,previous_year_month_revenue,mom_pct,yoy_pct,cumulative_revenue,previous_year_cumulative_revenue,cumulative_yoy_pct,note,source_url
revenue_202604_5608,2026-04,2026-05-10,after_close,listed,5608,四維航,264867.0,270946.0,267734.0,-0.022400000000000003,-0.010700000000000001,1033491.0,1051238.0,-0.0168,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_6753,2026-04,2026-05-10,after_close,listed,6753,龍德造船,488017.0,468537.0,326398.0,0.0415,0.4951,1812940.0,1563350.0,0.15960000000000002,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_6757,2026-04,2026-05-10,after_close,listed,6757,台灣虎航,1651863.0,1789551.0,1306185.0,-0.07690000000000001,0.2646,7189785.0,5934839.0,0.2114,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_8367,2026-04,2026-05-10,after_close,listed,8367,建新國際,285567.0,290594.0,244758.0,-0.0172,0.16670000000000001,1070068.0,1030889.0,0.038,無,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2701,2026-04,2026-05-10,after_close,listed,2701,萬企,20632.0,20743.0,23010.0,-0.0053,-0.1033,86279.0,85908.0,0.0043,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2702,2026-04,2026-05-10,after_close,listed,2702,華園,117380.0,139341.0,115319.0,-0.1576,0.0178,480575.0,473053.0,0.0159,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2704,2026-04,2026-05-10,after_close,listed,2704,國賓,101458.0,112964.0,94770.0,-0.1018,0.0705,479990.0,470339.0,0.020499999999999997,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2705,2026-04,2026-05-10,after_close,listed,2705,六福,172158.0,169777.0,192009.0,0.013999999999999999,-0.1033,683402.0,710517.0,-0.0381,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2706,2026-04,2026-05-10,after_close,listed,2706,第一店,30017.0,31604.0,28780.0,-0.050199999999999995,0.0429,119886.0,117616.0,0.019299999999999998,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2707,2026-04,2026-05-10,after_close,listed,2707,晶華,513143.0,604328.0,510300.0,-0.1508,0.0055000000000000005,2459522.0,2365451.0,0.0397,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2712,2026-04,2026-05-10,after_close,listed,2712,遠雄來,39497.0,27876.0,38530.0,0.4168,0.025,164666.0,153179.0,0.07490000000000001,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2722,2026-04,2026-05-10,after_close,listed,2722,夏都,48918.0,45504.0,48911.0,0.075,0.0001,181106.0,183144.0,-0.0111,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2723,2026-04,2026-05-10,after_close,listed,2723,美食-KY,1368644.0,1387592.0,1619953.0,-0.013600000000000001,-0.1551,5394871.0,6454301.0,-0.1641,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
