event_id,revenue_month,announcement_date,announcement_time,buy_date,buy_price,market,stock_id,company_name,current_month_revenue,mom_pct,yoy_pct,cumulative_yoy_pct,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares,avg_volume_5d,avg_volume_20d,previous_volume,previous_volume_ratio_20d,breakout_20d,breakout_60d,breakout_120d,breakout_240d,eps_quality_score,price_file
revenue_202604_6508,2026-04,2026-05-10,after_close,2026-05-11,24.4,otc,6508,惠光,188492.0,-0.18460000000000001,-0.18489999999999998,-0.024900000000000002,6000.0,0.0,0.0,6000.0,70200.0,76100.0,55000.0,0.7227332457293035,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6508.csv
revenue_202604_6578,2026-04,2026-05-10,after_close,2026-06-01,16.6,otc,6578,達邦蛋白,36372.0,0.0705,-0.0095,0.12480000000000001,,,,,184400.0,129300.0,467000.0,3.611755607115236,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6578.csv
revenue_202604_3073,2026-04,2026-05-10,after_close,2026-05-11,22.35,otc,3073,天方能源,7800.0,-0.4397,0.42119999999999996,3.1098000000000003,-6000.0,0.0,2.0,-5998.0,86000.0,86000.0,82000.0,0.9534883720930233,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\3073.csv
revenue_202604_3551,2026-04,2026-05-10,after_close,2026-05-11,214.0,otc,3551,世禾,275778.0,0.0025,0.1199,0.1722,-518950.0,90000.0,-35780.0,-464730.0,3483400.0,2774700.0,6788000.0,2.4463906007856706,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\3551.csv
revenue_202604_3713,2026-04,2026-05-10,after_close,2026-05-11,13.7,otc,3713,新晶投控,31337.0,-0.1381,0.623,0.1363,19000.0,0.0,0.0,19000.0,148400.0,161100.0,321000.0,1.9925512104283054,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\3713.csv
revenue_202604_4924,2026-04,2026-05-10,after_close,2026-05-11,10.25,otc,4924,欣厚-KY,69657.0,-0.16519999999999999,-0.07200000000000001,0.243,-1000.0,0.0,0.0,-1000.0,40200.0,110350.0,8000.0,0.07249660172179428,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\4924.csv
revenue_202604_5205,2026-04,2026-05-10,after_close,2026-05-11,23.7,otc,5205,中茂,1067.0,-0.26,-0.376,0.5021,,,,,8600.0,6300.0,15000.0,2.380952380952381,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\5205.csv
revenue_202604_5432,2026-04,2026-05-10,after_close,2026-05-11,150.0,otc,5432,新門,9054.0,-0.5178,-0.1769,0.026099999999999998,122000.0,0.0,231.0,122231.0,186200.0,162800.0,442000.0,2.714987714987715,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\5432.csv
revenue_202604_6624,2026-04,2026-05-10,after_close,2026-05-11,48.85,otc,6624,萬年清,40596.0,2.0511,-0.348,-0.1981,5000.0,0.0,0.0,5000.0,58200.0,38950.0,140000.0,3.594351732991014,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6624.csv
revenue_202604_6692,2026-04,2026-05-10,after_close,2026-05-11,31.6,otc,6692,進能服,54873.0,-0.0842,-0.2403,-0.77,-5000.0,0.0,0.0,-5000.0,48200.0,51800.0,50000.0,0.9652509652509652,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6692.csv
revenue_202604_6803,2026-04,2026-05-10,after_close,2026-05-11,289.0,otc,6803,崑鼎,716324.0,-0.08689999999999999,0.0255,0.030899999999999997,-7000.0,0.0,0.0,-7000.0,70400.0,70000.0,132000.0,1.8857142857142857,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6803.csv
revenue_202604_6894,2026-04,2026-05-10,after_close,2026-05-11,367.0,otc,6894,衛司特,191600.0,-0.1934,0.8835999999999999,0.6693000000000001,34000.0,0.0,103.0,34103.0,162800.0,256700.0,183000.0,0.7128944292948968,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6894.csv
revenue_202604_6971,2026-04,2026-05-10,after_close,2026-05-11,28.9,otc,6971,惠民實業,149309.0,-0.18469999999999998,-0.0605,0.0676,-1000.0,0.0,0.0,-1000.0,65600.0,54050.0,36000.0,0.666049953746531,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6971.csv
revenue_202604_7715,2026-04,2026-05-10,after_close,2026-05-11,28.5,otc,7715,裕山,102162.0,0.3014,0.1691,-0.441,6000.0,0.0,0.0,6000.0,74800.0,38700.0,75000.0,1.937984496124031,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\7715.csv
