combo,trades,months,win_rate,avg_return_pct,median_return_pct,monthly_avg_return_pct,hit_goal
"breakout_60d,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",26,5,0.730769,0.112035,0.068041,0.174213,False
"breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",26,5,0.730769,0.112035,0.068041,0.174213,False
"breakout_60d,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",26,5,0.730769,0.112035,0.068041,0.174213,False
"breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",26,5,0.730769,0.112035,0.068041,0.174213,False
"avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",30,5,0.733333,0.109169,0.056962,0.168411,False
"avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",30,5,0.733333,0.109169,0.056962,0.168411,False
"breakout_120d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_240d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_240d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_240d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_240d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_240d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_240d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_240d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_240d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,breakout_240d,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.0961,0.068041,0.166789,False
"breakout_120d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
