tune_index,threshold,chip_weight,tech_weight,fundamental_weight,trades,months,min_trades_per_month,win_rate,avg_return_pct,monthly_avg_return_pct,objective
1,22.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,22.5,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
1,23.0,1.2,1.0,0.8,25,5,5,0.56,0.037526,0.037526,0.298763
3,0.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,0.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,1.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,1.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,2.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,2.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,3.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,3.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,4.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,4.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,5.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,5.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,6.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,6.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,7.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,7.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,8.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,8.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,9.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,9.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,10.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,10.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,11.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,11.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,12.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,12.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,13.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,13.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,14.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,14.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,15.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,15.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,16.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,16.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,17.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,17.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,18.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,18.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,19.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,19.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,20.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,20.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,21.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,21.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,22.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,22.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,23.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,23.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,24.0,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
3,24.5,1.2,1.2,0.7,25,5,5,0.56,0.037526,0.037526,0.298763
